FrameCounter,Timestamp,LedState,Stimulation,Output0,Output1,Input0,Input1,Region0G,Region1G
53275,21502.120256713,1,0,0,0,0,0,0.0352220513924261,0.0324454941616325
53276,21502.14533561,6,0,0,0,0,0,0.0336042551498011,0.0314165523359816
53277,21502.170451048,1,0,0,0,0,0,0.0352065647959155,0.0324336452773103
53278,21502.195544229,6,0,0,0,0,0,0.033624350852416,0.0313821523492399
53279,21502.220640299,1,0,0,0,0,0,0.0351831505369054,0.0324487430492692
53280,21502.245732257,6,0,0,0,0,0,0.033631725422183,0.0313928545673373
53281,21502.270845742,1,0,0,0,0,0,0.0352021400540553,0.0324277208351493
53282,21502.295942788,6,0,0,0,0,0,0.0336178981038699,0.0313938101225246
53283,21502.321038248,1,0,0,0,0,0,0.0352253699488212,0.0324479786051194
53284,21502.346150186,6,0,0,0,0,0,0.0336433403695659,0.0314022190081725
53285,21502.371246091,1,0,0,0,0,0,0.035203983696497,0.0324443474954077
53286,21502.396339231,6,0,0,0,0,0,0.0336586426018323,0.0314058501178842
53287,21502.421454669,1,0,0,0,0,0,0.035193290570335,0.0324556230466175
53288,21502.446546833,6,0,0,0,0,0,0.0336411279986358,0.0313983967874235
53289,21502.471641519,1,0,0,0,0,0,0.0352100677165548,0.0324479786051194
53290,21502.496738116,6,0,0,0,0,0,0.0336610393370066,0.0314098634496707
53291,21502.521851194,1,0,0,0,0,0,0.0352128331802174,0.0324414808298459
53292,21502.546946287,6,0,0,0,0,0,0.0336287755942762,0.0313727879084047
53293,21502.572041828,1,0,0,0,0,0,0.0352087771668456,0.0324397608305088
53294,21502.597155395,6,0,0,0,0,0,0.033627485044567,0.031388076791401
53295,21502.622249753,1,0,0,0,0,0,0.035216704829345,0.0324271475020369
53296,21502.647362709,6,0,0,0,0,0,0.0336333847003805,0.0313850190148017
53297,21502.672459023,1,0,0,0,0,0,0.035189050192719,0.032420458615726
53298,21502.697570189,6,0,0,0,0,0,0.0336641735291575,0.0313892234576257
53299,21502.722667805,1,0,0,0,0,0,0.0352133862729499,0.0324412897188085
53300,21502.747761677,6,0,0,0,0,0,0.0336584582375882,0.0313951478997868
53301,21502.77285624,1,0,0,0,0,0,0.0352078553456247,0.0324336452773103
53302,21502.797970131,6,0,0,0,0,0,0.0336479494756702,0.031388076791401
53303,21502.823065062,1,0,0,0,0,0,0.035197530947951,0.0324500808265313
53304,21502.848158283,6,0,0,0,0,0,0.0336549553169489,0.031396103454974
53305,21502.873273559,1,0,0,0,0,0,0.0352078553456247,0.0324166363949769
53306,21502.898382893,6,0,0,0,0,0,0.0336628829794483,0.0314155967807943
53307,21502.923459756,1,0,0,0,0,0,0.0352085928026014,0.0324303963896736
53308,21502.948558226,6,0,0,0,0,0,0.0336534804029955,0.0313974412322362
53309,21502.973672484,1,0,0,0,0,0,0.035207117888648,0.0324250452806249
53310,21502.99876359,6,0,0,0,0,0,0.03364131236288,0.0313999256757231
53311,21503.02385982,1,0,0,0,0,0,0.0352152299153917,0.0324523741589808
53312,21503.048953205,6,0,0,0,0,0,0.0336448152835193,0.0314224767781426
53313,21503.074069253,1,0,0,0,0,0,0.0352041680607412,0.0324540941583179
53314,21503.099164265,6,0,0,0,0,0,0.0336319097864271,0.0314291656644535
53315,21503.124258626,1,0,0,0,0,0,0.0352098833523106,0.032445303050595
53316,21503.149352903,6,0,0,0,0,0,0.0336733917413662,0.0314194190015434
53317,21503.174466551,1,0,0,0,0,0,0.0352347725252741,0.0324319252779732
53318,21503.199578774,6,0,0,0,0,0,0.0336748666553196,0.031410436782783
53319,21503.224674925,1,0,0,0,0,0,0.0352592929697492,0.0324344097214601
53320,21503.249767944,6,0,0,0,0,0,0.0336599331515415,0.0314186545573936
53321,21503.274882039,1,0,0,0,0,0,0.0352408565453318,0.032436894164947
53322,21503.299977293,6,0,0,0,0,0,0.0336647266218901,0.031418845668431
53323,21503.325070636,1,0,0,0,0,0,0.0352377223531808,0.0324447297174826
53324,21503.350187173,6,0,0,0,0,0,0.033670995006192,0.0314362367728393
53325,21503.3752819,1,0,0,0,0,0,0.0352321914258556,0.0324359386097598
53326,21503.400374387,6,0,0,0,0,0,0.0336580895090998,0.0314389123273636
53327,21503.425471474,1,0,0,0,0,0,0.0352454656514361,0.0324344097214601
53328,21503.450581948,6,0,0,0,0,0,0.0336708106419478,0.031464330095345
53329,21503.475679076,1,0,0,0,0,0,0.0352436220089944,0.0324378497201343
53330,21503.500774495,6,0,0,0,0,0,0.0336614080654949,0.0314545834324349
53331,21503.525886637,1,0,0,0,0,0,0.0352550525921332,0.032447405272007
53332,21503.55098185,6,0,0,0,0,0,0.0336473963829377,0.0314463656578243
53333,21503.576074705,1,0,0,0,0,0,0.0352618740691676,0.0324286763903365
53334,21503.601169961,6,0,0,0,0,0,0.0336475807471819,0.0314150234476819
53335,21503.626284016,1,0,0,0,0,0,0.0352270292270188,0.0324302052786362
53336,21503.65138033,6,0,0,0,0,0,0.0336435247338101,0.0314268723320041
53337,21503.67649129,1,0,0,0,0,0,0.0352340350682974,0.0324156808397897
53338,21503.701588825,6,0,0,0,0,0,0.033642418548345,0.0314190367794685
53339,21503.726702065,1,0,0,0,0,0,0.0352214982996936,0.0324168275060144
53340,21503.751795653,6,0,0,0,0,0,0.0336300661439854,0.0313781390174534
53341,21503.776911661,1,0,0,0,0,0,0.0352508122145172,0.0323486008656434
53342,21503.802006266,6,0,0,0,0,0,0.0336236133954393,0.0313045612680337
53343,21503.827098793,1,0,0,0,0,0,0.0352286885052163,0.0323596853058157
53344,21503.852214028,6,0,0,0,0,0,0.0336486869326469,0.0313217612614045
53345,21503.877307331,1,0,0,0,0,0,0.03521559864388,0.0323438230897071
53346,21503.902422769,6,0,0,0,0,0,0.0336123671765447,0.0312829657208014
