FrameCounter,Timestamp,LedState,Stimulation,Output0,Output1,Input0,Input1,Region0G
28712,3446.888679686,6,0,0,0,0,0,0.0301326553290915
28713,3446.913774901,1,0,0,0,0,0,0.0338233726919968
28714,3446.938889037,6,0,0,0,0,0,0.030126416325285
28715,3446.963983518,1,0,0,0,0,0,0.0338160938542225
28716,3446.989097125,6,0,0,0,0,0,0.0301160179856074
28717,3447.01419291,1,0,0,0,0,0,0.0338230260806742
28718,3447.039287719,6,0,0,0,0,0,0.0301186175705268
28719,3447.064400837,1,0,0,0,0,0,0.033808121793803
28720,3447.089497353,6,0,0,0,0,0,0.0301378544989303
28721,3447.114591388,1,0,0,0,0,0,0.0338339443373357
28722,3447.139705443,6,0,0,0,0,0,0.030139414249882
28723,3447.164799803,1,0,0,0,0,0,0.0338178269108354
28724,3447.189911539,6,0,0,0,0,0,0.0301440935027369
28725,3447.215007812,1,0,0,0,0,0,0.033815227325916
28726,3447.240100055,6,0,0,0,0,0,0.0301250298799946
28727,3447.265197712,1,0,0,0,0,0,0.0337980700654479
28728,3447.290291381,6,0,0,0,0,0,0.0301236434347043
28729,3447.315387328,1,0,0,0,0,0,0.0338119345183514
28730,3447.340501424,6,0,0,0,0,0,0.0301489460612531
28731,3447.365595294,1,0,0,0,0,0,0.033802229401319
28732,3447.390689655,6,0,0,0,0,0,0.0301463464763337
28733,3447.415782999,1,0,0,0,0,0,0.033831171446755
28734,3447.440896646,6,0,0,0,0,0,0.030158304566963
28735,3447.465990842,1,0,0,0,0,0,0.0338115879070288
28736,3447.491088499,6,0,0,0,0,0,0.0301541452310919
28737,3447.516202187,1,0,0,0,0,0,0.0338166137712063
28738,3447.541296426,6,0,0,0,0,0,0.0301692228236245
28739,3447.566411457,1,0,0,0,0,0,0.0338088150164481
28740,3447.59150476,6,0,0,0,0,0,0.0301744219934633
28741,3447.616600747,1,0,0,0,0,0,0.0338249324429484
28742,3447.641712604,6,0,0,0,0,0,0.0301614240688663
28743,3447.666808714,1,0,0,0,0,0,0.0338316913637389
28744,3447.691903441,6,0,0,0,0,0,0.0301830872765279
28745,3447.71701656,1,0,0,0,0,0,0.0338270121108839
28746,3447.742109576,6,0,0,0,0,0,0.0301811809142537
28747,3447.767206216,1,0,0,0,0,0,0.0338327311977066
28748,3447.792300861,6,0,0,0,0,0,0.0301811809142537
28749,3447.817414631,1,0,0,0,0,0,0.0338226794693516
28750,3447.842509806,6,0,0,0,0,0,0.0301967784237701
28751,3447.867604124,1,0,0,0,0,0,0.0338292650844808
28752,3447.892698444,6,0,0,0,0,0,0.0302040572615444
28753,3447.917812661,1,0,0,0,0,0,0.0338148807145934
28754,3447.942908487,6,0,0,0,0,0,0.0301960852011249
28755,3447.967999469,1,0,0,0,0,0,0.0338289184731582
28756,3447.993096474,6,0,0,0,0,0,0.030181354219915
28757,3448.01821061,1,0,0,0,0,0,0.0338180002164967
28758,3448.043305296,6,0,0,0,0,0,0.0301858601671086
28759,3448.068400308,1,0,0,0,0,0,0.0338155739372386
28760,3448.093514566,6,0,0,0,0,0,0.0301978182577379
28761,3448.118608111,1,0,0,0,0,0,0.033829438390142
28762,3448.143702798,6,0,0,0,0,0,0.0302038839558832
28763,3448.168817056,1,0,0,0,0,0,0.0338143607976095
28764,3448.193910643,6,0,0,0,0,0,0.0302078699860929
28765,3448.219026285,1,0,0,0,0,0,0.0338138408806256
28766,3448.244120155,6,0,0,0,0,0,0.0301888063633506
28767,3448.269215737,1,0,0,0,0,0,0.0338029226239642
28768,3448.294328693,6,0,0,0,0,0,0.0302005911483186
28769,3448.319424356,1,0,0,0,0,0,0.033818173522158
28770,3448.344537515,6,0,0,0,0,0,0.0301870733067377
28771,3448.369631795,1,0,0,0,0,0,0.0338133209636418
28772,3448.394727171,6,0,0,0,0,0,0.0301773681897053
28773,3448.419821857,1,0,0,0,0,0,0.0338069086541739
28774,3448.44493461,6,0,0,0,0,0,0.0301619439858501
28775,3448.470028401,1,0,0,0,0,0,0.0338114146013675
28776,3448.495124875,6,0,0,0,0,0,0.0301596910122533
28777,3448.520218138,1,0,0,0,0,0,0.0338110679900449
28778,3448.545333494,6,0,0,0,0,0,0.0301690495179632
28779,3448.570429198,1,0,0,0,0,0,0.0338199065787709
28780,3448.595520629,6,0,0,0,0,0,0.0301714757972213
28781,3448.620634317,1,0,0,0,0,0,0.0338195599674483
28782,3448.645750406,6,0,0,0,0,0,0.0301609041518824
28783,3448.670844521,1,0,0,0,0,0,0.0338103747673998
28784,3448.695940469,6,0,0,0,0,0,0.0301576113443178
28785,3448.721052814,1,0,0,0,0,0,0.0338001497333835
28786,3448.746148721,6,0,0,0,0,0,0.0301744219934633
28787,3448.771256957,1,0,0,0,0,0,0.0338169603825289
28788,3448.79633797,6,0,0,0,0,0,0.0301621172915114
28789,3448.821450845,1,0,0,0,0,0,0.0338119345183514
28790,3448.846544188,6,0,0,0,0,0,0.0301817008312376
28791,3448.871641113,1,0,0,0,0,0,0.0338134942693031
28792,3448.896736489,6,0,0,0,0,0,0.0301926190878991
28793,3448.921828245,1,0,0,0,0,0,0.0338237193033194
28794,3448.946924925,6,0,0,0,0,0,0.0301981648690605
28795,3448.9720201,1,0,0,0,0,0,0.0338084684051255
28796,3448.99713391,6,0,0,0,0,0,0.0301889796690119
28797,3449.022226031,1,0,0,0,0,0,0.0338173069938515
28798,3449.047322956,6,0,0,0,0,0,0.0302108161823349
28799,3449.072418659,1,0,0,0,0,0,0.0338261455825775
28800,3449.097510864,6,0,0,0,0,0,0.0302177484087866
28801,3449.12262561,1,0,0,0,0,0,0.0338244125259645
28802,3449.14772005,6,0,0,0,0,0,0.0302182683257705
28803,3449.172834145,1,0,0,0,0,0,0.0338197332731096
28804,3449.197927489,6,0,0,0,0,0,0.0302373319485128
28805,3449.223041543,1,0,0,0,0,0,0.0338264921939001
28806,3449.248136311,6,0,0,0,0,0,0.0302416645900451
28807,3449.273249062,1,0,0,0,0,0,0.0338309981410937
28808,3449.298346393,6,0,0,0,0,0,0.0302383717824805
28809,3449.323441079,1,0,0,0,0,0,0.0338145341032708
28810,3449.348552977,6,0,0,0,0,0,0.0302430510353355
28811,3449.373650349,1,0,0,0,0,0,0.0338264921939001
28812,3449.398744179,6,0,0,0,0,0,0.030251023095755
28813,3449.423837034,1,0,0,0,0,0,0.0338245858316258
28814,3449.448952838,6,0,0,0,0,0,0.0302361188088837
28815,3449.474047362,1,0,0,0,0,0,0.0338050022918997
28816,3449.49913981,6,0,0,0,0,0,0.0302236408012706
28817,3449.524237465,1,0,0,0,0,0,0.0338084684051255
28818,3449.549351276,6,0,0,0,0,0,0.0302340391409482
28819,3449.57444348,1,0,0,0,0,0,0.0337996298163996
28820,3449.599540648,6,0,0,0,0,0,0.0302099496540284
28821,3449.62465397,1,0,0,0,0,0,0.0338119345183514
28822,3449.649746295,6,0,0,0,0,0,0.0302030174275767
28823,3449.674842405,1,0,0,0,0,0,0.0338180002164967
28824,3449.699954751,6,0,0,0,0,0,0.0302064835408026
28825,3449.72505139,1,0,0,0,0,0,0.0338424363147391
28826,3449.750146199,6,0,0,0,0,0,0.0302042305672057
