,Time,zF
6163,308.15,-1.0705204996645536
6164,308.2,-1.0778301596634774
6165,308.25,-1.0924383006646692
6166,308.3,-1.101824481896722
6167,308.35,-1.1112869896296016
6168,308.4,-1.1301265116027672
6169,308.45,-1.1357718478057888
6170,308.5,-1.1421211437077914
6171,308.55,-1.1555221492782475
6172,308.6,-1.1692586664126323
6173,308.65,-1.1793784128670293
6174,308.7,-1.1931600273314993
6175,308.75,-1.2049544090540867
6176,308.8,-1.2082923263238836
6177,308.85,-1.2170456804068697
6178,308.9,-1.2239296249736342
6179,308.95,-1.2298777537903225
6180,309.0,-1.242019904136174
6181,309.05,-1.2530591913043565
6182,309.1,-1.2626681719869979
6183,309.15,-1.2677140233706643
6184,309.2,-1.2691602111591094
6185,309.25,-1.2733678266784272
6186,309.3,-1.2784796438119408
6187,309.35,-1.277731205444604
6188,309.4,-1.2859724749948866
6189,309.45,-1.2934614017495794
6190,309.5,-1.299038860940386
6191,309.55,-1.3090062800224176
6192,309.6,-1.314484454936808
6193,309.65,-1.3271608306348492
6194,309.7,-1.3302001300507809
6195,309.75,-1.3397114370470782
6196,309.8,-1.3461091472953266
6197,309.85,-1.3397474551039572
6198,309.9,-1.3421454081841868
6199,309.95,-1.3474072887164985
6200,310.0,-1.3456811746326416
6201,310.05,-1.346588827729224
6202,310.1,-1.3563794347996523
6203,310.15,-1.3581221915394261
6204,310.2,-1.3522463583395745
6205,310.25,-1.354896090578297
6206,310.3,-1.3614886773945678
6207,310.35,-1.3564303394332355
6208,310.4,-1.3632529554327062
6209,310.45,-1.3688836246580416
6210,310.5,-1.3684327176943563
6211,310.55,-1.363970175927832
6212,310.6,-1.3598168947827485
6213,310.65,-1.3552464856407844
6214,310.7,-1.3486568340445384
6215,310.75,-1.3499911489433494
6216,310.8,-1.3481294671643838
6217,310.85,-1.34273976701386
6218,310.9,-1.346808364370875
6219,310.95,-1.3408448040150667
6220,311.0,-1.346612544735308
6221,311.05,-1.3414030851703997
6222,311.1,-1.3434835438935457
6223,311.15,-1.344475282415505
6224,311.2,-1.3427248498566047
6225,311.25,-1.3361614920113445
6226,311.3,-1.3280240198432485
6227,311.35,-1.3152958836055815
6228,311.4,-1.315858367160999
6229,311.45,-1.3097826479464525
6230,311.5,-1.3075434264229864
6231,311.55,-1.3007338385469254
6232,311.6,-1.294147486463123
6233,311.65,-1.2850597766713745
6234,311.7,-1.2724192050571288
6235,311.75,-1.2760133745847717
6236,311.8,-1.2744811658675228
6237,311.85,-1.270318326715837
6238,311.9,-1.2602488896187125
6239,311.95,-1.250483750462302
6240,312.0,-1.2428607834939729
6241,312.05,-1.2362924013019416
6242,312.1,-1.2347315009459519
6243,312.15,-1.2267697609729353
6244,312.2,-1.2209837521115572
6245,312.25,-1.2155045927973147
6246,312.3,-1.216797793746381
6247,312.35,-1.2138039668897824
6248,312.4,-1.213352557070517
6249,312.45,-1.206858838183889
6250,312.5,-1.202529873912687
6251,312.55,-1.1943109520878876
6252,312.6,-1.1827660899326589
6253,312.65,-1.1776076529079953
6254,312.7,-1.1660312782990248
6255,312.75,-1.1626615231477437
6256,312.8,-1.162900646223577
6257,312.85,-1.1563621640613844
6258,312.9,-1.155301836630888
6259,312.95,-1.151141275452754
6260,313.0,-1.144418848701793
6261,313.05,-1.1327274798532927
6262,313.1,-1.1176440850966458
6263,313.15,-1.1169906006544001
6264,313.2,-1.1031427002129126
6265,313.25,-1.0923852604142756
6266,313.3,-1.0846414886631879
6267,313.35,-1.0675674780515514
6268,313.4,-1.059296296725128
6269,313.45,-1.0422373445993034
6270,313.5,-1.0329214352436404
6271,313.55,-1.022639757295009
6272,313.6,-1.0140114348033202
6273,313.65,-1.0071554597374834
6274,313.7,-1.0039681562052334
6275,313.75,-1.0078958254410748
6276,313.8,-1.0127470552634792
6277,313.85,-1.0020935727793494
6278,313.9,-1.0038986713949873
6279,313.95,-0.9972481115600766
6280,314.0,-0.9924356480567467
6281,314.05,-0.9964453915889356
6282,314.1,-0.9978946903189141
6283,314.15,-0.9909215050650475
6284,314.2,-0.9941320477972683
6285,314.25,-1.0004695434398454
6286,314.3,-1.000723684869029
6287,314.35,-0.99505071387129
6288,314.4,-1.000184130153384
6289,314.45,-0.9940961206595214
6290,314.5,-0.991444894795636
6291,314.55,-0.9883146852558923
6292,314.6,-0.9899817778983887
6293,314.65,-0.991722582621752
6294,314.7,-0.9852013380401463
6295,314.75,-0.9791913854290095
6296,314.8,-0.9685453207335418
6297,314.85,-0.9579175686434767
6298,314.9,-0.9437981499123569
6299,314.95,-0.9144787261593084
6300,315.0,-0.8923297690057755
6301,315.05,-0.8736535238479886
6302,315.1,-0.8547645772067766
6303,315.15,-0.8314872799945785
6304,315.2,-0.8136091027259233
6305,315.25,-0.7920621064983927
6306,315.3,-0.7721984869617998
6307,315.35,-0.751889574265049
6308,315.4,-0.7464971534600945
6309,315.45,-0.7286404070961299
6310,315.5,-0.7130392136532814
6311,315.55,-0.6980156531757459
6312,315.6,-0.6847351025964206
6313,315.65,-0.6760421020099403
6314,315.7,-0.6609710950351403
6315,315.75,-0.6481834917074383
6316,315.8,-0.6362483015078557
